clustering_coefficient,digit_indices,digit_sequence_linearity,graph_density,hub_nodes,input_name,largest_component_size,max_degree,mean_degree,method_name,metric_type,model_name,num_components,num_edges,num_hubs,overall_linearity,timestamp,transitivity
1.0,,,,,MISSING_DATASET_3,113,,,PHATE,connectivity_graph,LaBSE,1,6328,,,20260126_200449,
,,0,,,MISSING_DATASET_3,,,,PHATE,linearity_analysis,LaBSE,,,,0.9445,20260126_200449,
,,,1.0,,MISSING_DATASET_3,,112,112.0,PHATE,topology_analysis,LaBSE,,,0,,20260126_200449,1.0
