davies_bouldin_score,density_std,hull_areas,hull_perimeters,inertia,input_name,language_separation_scores,max_density,mean_density,mean_hull_area,mean_language_coherence,method_name,metric_type,min_density,model_name,num_clusters,silhouette_score,timestamp,total_hull_area
0.6025,,,,0.0816,dual_view,,,,,,PHATE,basic_clustering,,Qwen3-Embedding-0.6B,5,0.5061,20260126_121755,
,42.06421831851672,,,,dual_view,,197,149.53271028037383,,,PHATE,density_analysis,19,Qwen3-Embedding-0.6B,,,20260126_121755,
,,0.0015244612997680415;0.0018911247976815203;0.0007296575384241204;0.0009191418188603558;0.003146257245486611,0.16614667269889982;0.16582276522169678;0.16800597435447553;0.14121766584684786;0.21538039516583443,,dual_view,,,,0.00164212854004413,,PHATE,boundary_analysis,,Qwen3-Embedding-0.6B,,,20260126_121755,0.00821064270022065
,,,,,dual_view,1.0;1.0;1.0;1.0;1.0,,,,1.0,PHATE,language_coherence,,Qwen3-Embedding-0.6B,,,20260126_121755,
