id,word,domain,type,tier,language,nsm_prime_ref,nsm_prime_group,position
1408,move,action,verb,1,KOR,,ACTIONS_EVENTS_MOVEMENT,0
617,much many,quantity,determiner,1,KOR,,QUANTIFIERS,0
2039,near,spatial,other,1,KOR,,SPACE,0
2168,not,logic,conjunction,1,KOR,,LOGICAL_CONCEPTS,0
1675,now,temporal,other,1,KOR,,TIME,0
485,one,quantity,determiner,1,KOR,,QUANTIFIERS,0
452,other,reference,determiner,1,KOR,,DETERMINERS,0
351,part,relation,noun,1,KOR,,RELATIONAL_SUBSTANTIVES,0
225,people,entity,noun,1,KOR,,SUBSTANTIVES,0
1213,say,communication,verb,1,KOR,,SPEECH,0
1123,see,cognition,verb,1,KOR,,MENTAL_PREDICATES,0
2070,side,spatial,other,1,KOR,,SPACE,0
820,small,property,adjective,1,KOR,,DESCRIPTORS,0
550,some,quantity,determiner,1,KOR,,QUANTIFIERS,0
123,someone,entity,noun,1,KOR,,SUBSTANTIVES,0
173,something,entity,verb,1,KOR,,SUBSTANTIVES,0
419,the same,reference,determiner,1,KOR,,DETERMINERS,0
1473,there is,existence,other,1,KOR,,LOCATION_EXISTENCE,0
881,think,cognition,verb,1,KOR,,MENTAL_PREDICATES,0
386,this,reference,determiner,1,KOR,,DETERMINERS,0
2134,touch,spatial,other,1,KOR,,SPACE,0
1285,true,communication,verb,1,KOR,,SPEECH,0
518,two,quantity,determiner,1,KOR,,QUANTIFIERS,0
2333,very,degree,adverb,1,KOR,,INTENSIFIER_AUGMENTOR,0
1000,want,cognition,verb,1,KOR,,MENTAL_PREDICATES,0
1642,when,temporal,other,1,KOR,,TIME,0
1886,where,spatial,other,1,KOR,,SPACE,0
1249,words,communication,verb,1,KOR,,SPEECH,0
73,you,entity,noun,1,KOR,,SUBSTANTIVES,0
1758,a long time,temporal,other,1,CHN,,TIME,0
1787,a short time,temporal,other,1,CHN,,TIME,0
1936,above,spatial,other,1,CHN,,SPACE,0
1727,after,temporal,other,1,CHN,,TIME,0
572,all,quantity,determiner,1,CHN,,QUANTIFIERS,0
725,bad,evaluation,adjective,1,CHN,,EVALUATORS,0
1528,be mine,existence,other,1,CHN,,LOCATION_EXISTENCE,0
1495,be something,existence,verb,1,CHN,,LOCATION_EXISTENCE,0
1432,be somewhere,existence,other,1,CHN,,LOCATION_EXISTENCE,0
2255,because,logic,conjunction,1,CHN,,LOGICAL_CONCEPTS,0
1696,before,temporal,other,1,CHN,,TIME,0
1967,below,spatial,other,1,CHN,,SPACE,0
770,big,property,adjective,1,CHN,,DESCRIPTORS,0
255,body,entity,noun,1,CHN,,SUBSTANTIVES,0
2221,can,logic,conjunction,1,CHN,,LOGICAL_CONCEPTS,0
1599,die,life,verb,1,CHN,,LIFE_DEATH,0
1313,do,action,verb,1,CHN,,ACTIONS_EVENTS_MOVEMENT,0
1028,dont want,cognition,verb,1,CHN,,MENTAL_PREDICATES,0
1998,far,spatial,other,1,CHN,,SPACE,0
1064,feel,cognition,verb,1,CHN,,MENTAL_PREDICATES,0
1815,for some time,temporal,other,1,CHN,,TIME,0
678,good,evaluation,adjective,1,CHN,,EVALUATORS,0
1355,happen,action,verb,1,CHN,,ACTIONS_EVENTS_MOVEMENT,0
1152,hear,cognition,verb,1,CHN,,MENTAL_PREDICATES,0
1906,here,spatial,other,1,CHN,,SPACE,0
16,i,entity,noun,1,CHN,,SUBSTANTIVES,0
2290,if,logic,conjunction,1,CHN,,LOGICAL_CONCEPTS,0
2091,inside,spatial,other,1,CHN,,SPACE,0
296,kind,relation,noun,1,CHN,,RELATIONAL_SUBSTANTIVES,0
928,know,cognition,verb,1,CHN,,MENTAL_PREDICATES,0
2391,like,comparison,other,1,CHN,,SIMILARITY,0
638,little few,quantity,determiner,1,CHN,,QUANTIFIERS,0
1562,live,life,adjective,1,CHN,,LIFE_DEATH,0
2189,maybe,logic,conjunction,1,CHN,,LOGICAL_CONCEPTS,0
1843,moment,temporal,other,1,CHN,,TIME,0
2356,more,degree,adverb,1,CHN,,INTENSIFIER_AUGMENTOR,0
1395,move,action,verb,1,CHN,,ACTIONS_EVENTS_MOVEMENT,0
606,much many,quantity,determiner,1,CHN,,QUANTIFIERS,0
2028,near,spatial,other,1,CHN,,SPACE,0
2157,not,logic,conjunction,1,CHN,,LOGICAL_CONCEPTS,0
1664,now,temporal,other,1,CHN,,TIME,0
474,one,quantity,determiner,1,CHN,,QUANTIFIERS,0
441,other,reference,determiner,1,CHN,,DETERMINERS,0
338,part,relation,noun,1,CHN,,RELATIONAL_SUBSTANTIVES,0
209,people,entity,noun,1,CHN,,SUBSTANTIVES,0
1198,say,communication,verb,1,CHN,,SPEECH,0
1109,see,cognition,verb,1,CHN,,MENTAL_PREDICATES,0
2059,side,spatial,other,1,CHN,,SPACE,0
809,small,property,adjective,1,CHN,,DESCRIPTORS,0
540,some,quantity,determiner,1,CHN,,QUANTIFIERS,0
106,someone,entity,noun,1,CHN,,SUBSTANTIVES,0
157,something,entity,verb,1,CHN,,SUBSTANTIVES,0
408,the same,reference,determiner,1,CHN,,DETERMINERS,0
1462,there is,existence,other,1,CHN,,LOCATION_EXISTENCE,0
856,think,cognition,verb,1,CHN,,MENTAL_PREDICATES,0
375,this,reference,determiner,1,CHN,,DETERMINERS,0
2123,touch,spatial,other,1,CHN,,SPACE,0
1274,true,communication,verb,1,CHN,,SPEECH,0
507,two,quantity,determiner,1,CHN,,QUANTIFIERS,0
2322,very,degree,adverb,1,CHN,,INTENSIFIER_AUGMENTOR,0
984,want,cognition,verb,1,CHN,,MENTAL_PREDICATES,0
1632,when,temporal,other,1,CHN,,TIME,0
1875,where,spatial,other,1,CHN,,SPACE,0
1238,words,communication,verb,1,CHN,,SPEECH,0
59,you,entity,noun,1,CHN,,SUBSTANTIVES,0
2209,ability,logic,conjunction,2,ENU,can,LOGICAL_CONCEPTS,2
2208,able,logic,adjective,2,ENU,can,LOGICAL_CONCEPTS,1
2151,absence,logic,conjunction,2,ENU,not,LOGICAL_CONCEPTS,8
597,abundant,quantity,determiner,2,ENU,much many,QUANTIFIERS,4
1299,accomplish,action,verb,2,ENU,do,ACTIONS_EVENTS_MOVEMENT,4
1268,accurate,communication,verb,2,ENU,true,SPEECH,9
1139,acoustic,cognition,verb,2,ENU,hear,MENTAL_PREDICATES,4
1296,act,action,verb,2,ENU,do,ACTIONS_EVENTS_MOVEMENT,1
1305,action,action,verb,2,ENU,do,ACTIONS_EVENTS_MOVEMENT,10
1263,actual,communication,verb,2,ENU,true,SPEECH,4
2350,add,degree,adverb,2,ENU,more,INTENSIFIER_AUGMENTOR,7
433,additional,reference,determiner,2,ENU,other,DETERMINERS,5
2344,additional,degree,adverb,2,ENU,more,INTENSIFIER_AUGMENTOR,1
51,addressee,entity,noun,2,ENU,you,SUBSTANTIVES,5
2020,adjacent,spatial,other,2,ENU,near,SPACE,3
1385,advance,action,verb,2,ENU,move,ACTIONS_EVENTS_MOVEMENT,7
668,advantageous,evaluation,adjective,2,ENU,good,EVALUATORS,10
714,adverse,evaluation,adjective,2,ENU,bad,EVALUATORS,7
1995,afar,spatial,other,2,ENU,far,SPACE,8
1722,afterward,temporal,other,2,ENU,after,TIME,6
1753,ages,temporal,other,2,ENU,a long time,TIME,6
1692,ahead,temporal,other,2,ENU,before,TIME,8
400,alike,reference,determiner,2,ENU,the same,DETERMINERS,5
2383,alike,comparison,other,2,ENU,like,SIMILARITY,6
1548,alive,life,adjective,2,ENU,live,LIFE_DEATH,1
1933,aloft,spatial,other,2,ENU,above,SPACE,9
466,alone,quantity,determiner,2,ENU,one,QUANTIFIERS,5
2053,alongside,spatial,other,2,ENU,side,SPACE,5
432,alternative,reference,adjective,2,ENU,other,DETERMINERS,4
1484,am,existence,other,2,ENU,be something,LOCATION_EXISTENCE,2
601,ample,quantity,determiner,2,ENU,much many,QUANTIFIERS,8
2382,analogous,comparison,adjective,2,ENU,like,SIMILARITY,5
242,anatomy,entity,noun,2,ENU,body,SUBSTANTIVES,4
1555,animate,life,verb,2,ENU,live,LIFE_DEATH,8
430,another,reference,determiner,2,ENU,other,DETERMINERS,2
1694,antecedent,temporal,other,2,ENU,before,TIME,10
1691,anterior,temporal,other,2,ENU,before,TIME,7
92,anyone,entity,noun,2,ENU,someone,SUBSTANTIVES,5
146,anything,entity,verb,2,ENU,something,SUBSTANTIVES,7
972,appetite,cognition,verb,2,ENU,want,MENTAL_PREDICATES,9
1485,are,existence,other,2,ENU,be something,LOCATION_EXISTENCE,3
1868,area,spatial,other,2,ENU,where,SPACE,7
1344,arise,action,verb,2,ENU,happen,ACTIONS_EVENTS_MOVEMENT,5
1187,articulate,communication,verb,2,ENU,say,SPEECH,10
2057,aspect,spatial,other,2,ENU,side,SPACE,9
970,aspire,cognition,verb,2,ENU,want,MENTAL_PREDICATES,7
837,assume,cognition,verb,2,ENU,think,MENTAL_PREDICATES,8
2282,assuming,logic,verb,2,ENU,if,LOGICAL_CONCEPTS,4
1138,auditory,cognition,verb,2,ENU,hear,MENTAL_PREDICATES,3
2352,augment,degree,adverb,2,ENU,more,INTENSIFIER_AUGMENTOR,9
1266,authentic,communication,verb,2,ENU,true,SPEECH,7
1454,available,existence,adjective,2,ENU,there is,LOCATION_EXISTENCE,3
1018,averse,cognition,verb,2,ENU,dont want,MENTAL_PREDICATES,3
1025,avoid,cognition,verb,2,ENU,dont want,MENTAL_PREDICATES,10
907,aware,cognition,verb,2,ENU,know,MENTAL_PREDICATES,2
1057,awareness,cognition,verb,2,ENU,feel,MENTAL_PREDICATES,10
1990,away,spatial,other,2,ENU,far,SPACE,3
1814,awhile,temporal,other,2,ENU,for some time,TIME,9
2247,basis,logic,conjunction,2,ENU,because,LOGICAL_CONCEPTS,6
1098,behold,cognition,verb,2,ENU,see,MENTAL_PREDICATES,9
97,being,entity,verb,2,ENU,someone,SUBSTANTIVES,10
1459,being,existence,verb,2,ENU,there is,LOCATION_EXISTENCE,8
1486,being,existence,verb,2,ENU,be something,LOCATION_EXISTENCE,4
1552,being,life,verb,2,ENU,live,LIFE_DEATH,5
831,believe,cognition,verb,2,ENU,think,MENTAL_PREDICATES,2
1520,belong,existence,other,2,ENU,be mine,LOCATION_EXISTENCE,4
1526,belonging,existence,verb,2,ENU,be mine,LOCATION_EXISTENCE,10
1958,beneath,spatial,other,2,ENU,below,SPACE,2
660,beneficial,evaluation,adjective,2,ENU,good,EVALUATORS,2
2052,beside,spatial,other,2,ENU,side,SPACE,4
503,binary,quantity,determiner,2,ENU,two,QUANTIFIERS,8
1557,biological,life,verb,2,ENU,live,LIFE_DEATH,10
1840,blink,temporal,other,2,ENU,moment,TIME,8
